TL,Territory Level and Typology,REG_ID,Region,SERIES,SNA Classification,VAR,Indicator,MEAS,Measure,POS,Position,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
2,Large regions (TL2),ITI4,Lazio,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2005,2005,,,0,Units,,,274209,,
2,Large regions (TL2),ITI1,Tuscany,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2013,2013,,,0,Units,,,147071,,
2,Large regions (TL2),ITI1,Tuscany,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2004,2004,,,0,Units,,,151518,,
2,Large regions (TL2),ITF6,Calabria,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2004,2004,,,0,Units,,,49058.6,,
2,Large regions (TL2),ITI2,Umbria,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2008,2008,,,0,Units,,,34030.7,,
2,Large regions (TL2),ITF1,Abruzzo,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,43624.8,,
2,Large regions (TL2),ITI1,Tuscany,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2010,2010,,,0,Units,,,151420,,
2,Large regions (TL2),ITH1,Province of Bolzano-Bozen,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2013,2013,,,0,Units,,,30148.6,,
2,Large regions (TL2),ITI3,Marche,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2011,2011,,,0,Units,,,56770.4,,
2,Large regions (TL2),ITH4,Friuli-Venezia Giulia,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2012,2012,,,0,Units,,,48162.3,,
2,Large regions (TL2),ITG2,Sardinia,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2006,2006,,,0,Units,,,48677,,
2,Large regions (TL2),ITF5,Basilicata,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2007,2007,,,0,Units,,,18049.2,,
2,Large regions (TL2),ITG2,Sardinia,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2009,2009,,,0,Units,,,47176.3,,
2,Large regions (TL2),ITF4,Apulia,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2012,2012,,,0,Units,,,100688,,
2,Large regions (TL2),ITF2,Molise,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2008,2008,,,0,Units,,,10137.8,,
2,Large regions (TL2),ITF5,Basilicata,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2010,2010,,,0,Units,,,16100.6,,
2,Large regions (TL2),ITH3,Veneto,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2007,2007,,,0,Units,,,218920,,
2,Large regions (TL2),ITI3,Marche,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2005,2005,,,0,Units,,,57980.9,,
2,Large regions (TL2),ITF6,Calabria,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2011,2011,,,0,Units,,,47108.6,,
